Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq Contour (Hz)	Agg Entropy (bits)	Peak Freq (Hz)	IQR BW (Hz)	Unit Type	Contour	Description
1	Spectrogram 1	1	5.020034274	6.080969352	454.0	719.5	1.061	554.7;554.7;503.9;507.8;503.9;503.9;554.7;554.7;566.4;632.8	5.018	503.9	54.7	A	1	ascending moan
2	Spectrogram 1	1	9.936562687	11.359768280	282.7	633.8	1.423	355.5;355.5;355.5;355.5;398.4;398.4;410.2;550.8;445.3;449.2;449.2;449.2;449.2;449.2;355.5	5.706	449.2	66.4	B	1	cry
3	Spectrogram 1	1	17.013370766	18.229564637	394.0	719.5	1.216	543.0;433.6;437.5;460.9;464.8;464.8;472.7;500.0;523.4;621.1;628.9;617.2	5.201	464.8	54.7	A	1	ascending moan
4	Spectrogram 1	1	20.273805398	21.826393318	1096.4	1533.2	1.553	1390.6;1390.6;1148.4;1152.3;1152.3;1281.2;1453.1;1464.8;1492.2;1492.2;1496.1;1496.1;1492.2;1480.5;1488.3	5.799	1152.3	296.9	C	1	ascending shriek
5	Spectrogram 1	1	23.781605927	25.101305659	274.1	488.2	1.320	300.8;285.2;343.8;343.8;363.3;378.9;378.9;402.3;402.3;378.9;406.2;406.2;378.9	4.945	378.9	46.9	D	1	gurgle
6	Spectrogram 1	1	27.714828657	29.008651923	351.2	573.9	1.294	421.9;421.9;425.8;425.8;418.0;406.2;406.2;402.3;406.2;406.2;421.9;472.7;418.0	3.395	406.2	15.6	E	1	ascending moan
7	Spectrogram 1	1	34.811948852	35.769378070	257.0	488.2	0.957	300.8;312.5;312.5;312.5;339.8;332.0;316.4;312.5;382.8	4.500	312.5	27.3	A	1	gurgle
8	Spectrogram 1	1	38.719295117	39.987241918	342.6	496.8	1.268	390.6;394.5;390.6;390.6;394.5;394.5;402.3;406.2;406.2;406.2;351.6;351.6	3.376	390.6	11.7	E	1	ascending moan
9	Spectrogram 1	1	45.261881047	47.099110086	102.8	471.1	1.837	117.2;121.1;121.1;285.2;285.2;390.6;390.6;386.7;386.7;175.8;386.7;144.5;324.2;339.8;343.8;343.8;351.6;351.6;339.8	6.029	121.1	183.6	F	1	gurgle +modulated moan
10	Spectrogram 1	1	48.936339124	50.359544717	308.4	488.2	1.423	460.9;382.8;406.2;414.1;414.1;425.8;429.7;429.7;433.6;429.7;429.7;433.6;445.3;433.6;429.7	3.441	429.7	11.7	E	1	ascending moan
11	Spectrogram 1	1	55.039025144	56.979760044	248.4	479.7	1.941	335.9;335.9;324.2;324.2;335.9;335.9;324.2;402.3;378.9;382.8;382.8;343.8;339.8;339.8;324.2;324.2;328.1;320.3;320.3	4.640	335.9	43.0	G	1	cry
12	Spectrogram 1	1	57.523165816	58.816989082	197.0	411.1	1.294	328.1;328.1;273.4;277.3;277.3;332.0;332.0;332.0;316.4;316.4;308.6;304.7;332.0	4.403	332.0	46.9	H	1	cry
13	Spectrogram 1	1	60.609433885	61.903257151	239.8	428.3	1.294	339.8;339.8;339.8;347.7;343.8;339.8;339.8;339.8;343.8;335.9;328.1;328.1;386.7	3.554	339.8	7.8	E	1	modulated moan
14	Spectrogram 1	1	62.058515943	62.834809903	231.3	471.1	0.776	289.1;296.9;296.9;398.4;335.9;335.9;320.3;324.2	5.280	335.9	54.7	H	1	cry
15	Spectrogram 1	1	65.655344624	67.285561940	274.1	488.2	1.630	347.7;386.7;386.7;386.7;359.4;359.4;355.5;355.5;394.5;394.5;398.4;398.4;390.6;402.3;394.5;386.7	4.213	355.5	31.2	G	1	cry
16	Spectrogram 1	1	68.087732365	69.303926236	162.7	359.7	1.216	242.2;281.2;277.3;277.3;281.2;253.9;253.9;253.9;253.9;253.9;265.6;175.8	4.669	277.3	35.2	H	1	cry
17	Spectrogram 1	1	71.788066907	73.081890174	102.8	428.3	1.294	136.7;144.5;144.5;171.9;300.8;343.8;343.8;332.0;324.2;324.2;324.2;347.7;343.8	5.220	343.8	168.0	E	1	gurgle
18	Spectrogram 1	1	75.676235345	77.539340849	231.3	411.1	1.863	312.5;312.5;312.5;335.9;332.0;335.9;335.9;343.8;343.8;339.8;312.5;312.5;312.5;312.5;312.5;296.9;312.5;234.4;234.4	3.583	335.9	19.5	G	1	cry
19	Spectrogram 1	1	78.315634809	79.454199283	179.9	376.9	1.139	234.4;234.4;242.2;269.5;273.4;273.4;300.8;300.8;312.5;324.2;257.8	4.911	273.4	58.6	H	1	cry
