Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Agg Entropy (bits)	Delta Time (s)	IQR BW (Hz)	Peak Freq Contour (Hz)	Center Freq (Hz)	Max Freq (Hz)	Unit Type	Contour	Description (Stimpert)	Description (Dunlop & Fournet)
1	Spectrogram 1	1	0.074288345	0.144206788	40.1	3871.5	156.2	4.895	0.070	968.8	156.2;156.2;156.2;156.2	625.0	156.2	A	0	broadband burst(1-16)	
2	Spectrogram 1	1	0.384551434	0.471949487	60.2	3901.6	156.2	4.279	0.087	906.2	156.2;156.2;156.2;625.0	187.5	156.2	A	0		
3	Spectrogram 1	1	0.799692187	0.878350435	60.2	3069.1	156.2	3.940	0.079	531.2	156.2;156.2;156.2;156.2	156.2	156.2	A	0		
4	Spectrogram 1	1	1.219202843	1.280381480	74.2	2934.4	156.2	3.393	0.061	250.0	156.2;156.2;156.2	156.2	156.2	A	0		
5	Spectrogram 1	1	1.503246516	1.586274666	84.7	3072.1	125.0	2.857	0.083	31.2	93.8;156.2;125.0;125.0;125.0	125.0	125.0	A	0		
6	Spectrogram 1	1	1.704262038	1.796029994	63.6	3760.6	156.2	3.687	0.092	468.8	156.2;156.2;156.2;156.2;125.0	156.2	156.2	A	0		
7	Spectrogram 1	1	1.817879507	1.905277560	53.0	3845.4	156.2	3.677	0.087	218.8	156.2;156.2;156.2;125.0;125.0	156.2	156.2	A	0		
8	Spectrogram 1	1	1.918387268	2.005785322	53.0	3856.0	156.2	4.275	0.087	968.8	156.2;156.2;156.2;125.0;156.2	156.2	156.2	A	0		
9	Spectrogram 1	1	2.023264932	2.093183375	74.2	3792.4	156.2	4.037	0.070	1000.0	156.2;156.2;156.2	156.2	156.2	A	0		
10	Spectrogram 1	1	2.163101817	2.259239676	74.2	3856.0	1062.5	4.965	0.096	1093.8	1062.5;1062.5;156.2;156.2;156.2	1031.2	1062.5	A	0		
