Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq Contour (Hz)	Agg Entropy (bits)	Peak Freq (Hz)	IQR BW (Hz)	Description
1	Spectrogram 1	1	0.340428879	1.293629740	938.1	1773.2	0.953	1125.0;1007.8;1070.3;1070.3;1015.6;1023.4;1046.9;1015.6;1632.8;1046.9;984.4;1156.2;1414.1;984.4	6.632	984.4	437.5	descending shriek
2	Spectrogram 1	1	3.336203012	4.493661200	975.9	1642.6	1.157	992.2;984.4;1171.9;1179.7;1023.4;1335.9;1539.1;1023.4;1148.4;1023.4;1398.4;1320.3;1320.3;1218.8;1437.5;1437.5;1062.5	6.347	1062.5	335.9	descending shriek
3	Spectrogram 1	1	6.263891370	7.353263783	1000.0	1635.7	1.089	1500.0;1500.0;1093.8;1273.4;1273.4;1148.4;1375.0;1375.0;1570.3;1250.0;1046.9;1046.9;1070.3;1085.9;1195.3;1046.9	6.313	1195.3	328.1	descending shriek
4	Spectrogram 1	1	9.123493953	10.008609037	879.6	1556.6	0.885	945.3;1117.2;1117.2;1179.7;898.4;1320.3;937.5;1031.2;976.6;1023.4;1156.2;1242.2;1085.9	6.369	1156.2	328.1	descending shriek
5	Spectrogram 1	1	11.846924983	12.663954292	865.8	1563.4	0.817	898.4;898.4;898.4;1265.6;1265.6;1187.5;867.2;867.2;890.6;867.2;867.2	6.386	867.2	343.8	descending shriek
6	Spectrogram 1	1	14.706527565	15.523556874	896.8	1615.0	0.817	1078.1;984.4;1031.2;1031.2;1007.8;1007.8;1117.2;1000.0;1101.6;1187.5;1187.5;1031.2	6.423	1007.8	359.4	descending shriek
7	Spectrogram 1	1	17.293787044	18.246987905	859.0	1542.8	0.953	859.4;1195.3;1046.9;1046.9;960.9;960.9;882.8;882.8;898.4;992.2;867.2;867.2;953.1;953.1	6.369	960.9	335.9	descending shriek
8	Spectrogram 1	1	21.491138819	23.057111661	1219.2	1377.9	1.566	1265.6;1343.8;1335.9;1335.9;1320.3;1234.4;1234.4;1226.6;1226.6;1320.3;1375.0;1375.0;1320.3;1281.2;1281.2;1257.8;1257.8;1328.1;1234.4;1375.0;1304.7;1312.5;1312.5;1375.0	4.295	1335.9	78.1	descending shriek
9	Spectrogram 1	1	26.672738436	27.898282400	964.5	1256.8	1.226	1093.8;1179.7;1203.1;1140.6;1093.8;1046.9;1101.6;1179.7;1007.8;1179.7;992.2;1117.2;968.8;1164.1;1140.6;1007.8;968.8;1109.4	5.172	968.8	140.6	descending shriek
10	Spectrogram 1	1	29.464255243	30.485541879	960.3	1210.9	1.021	1000.0;1140.6;1039.1;1039.1;1164.1;1164.1;1015.6;976.6;976.6;1039.1;1039.1;992.2;992.2;1054.7;1046.9	4.907	1000.0	140.6	descending shriek
11	Spectrogram 1	1	31.983428946	33.685573340	926.9	1290.2	1.702	1210.9;1117.2;976.6;976.6;1101.6;937.5;1281.2;1281.2;945.3;1000.0;945.3;937.5;929.7;929.7;1070.3;984.4;1187.5;929.7;929.7;1015.6;937.5;937.5;960.9;1070.3;976.6;976.6	5.485	937.5	203.1	descending shriek
12	Spectrogram 1	1	34.843031528	36.272832819	906.1	1261.0	1.430	976.6;1226.6;1007.8;1007.8;1250.0;1125.0;1125.0;1234.4;1234.4;1210.9;1210.9;1031.2;1109.4;1062.5;1015.6;1015.6;1226.6;1226.6;1046.9;984.4;984.4	5.478	984.4	164.1	descending shriek
13	Spectrogram 1	1	39.736491864	40.893950052	505.2	734.9	1.157	578.1;578.1;664.1;664.1;570.3;570.3;718.8;593.8;546.9;546.9;687.5;671.9;671.9;718.8;679.7;679.7;710.9	4.877	570.3	125.0	ascending shriek
14	Spectrogram 1	1	42.459922894	44.366324616	997.9	1119.0	1.906	1085.9;1085.9;1031.2;1062.5;1070.3;1078.1;1078.1;1023.4;1117.2;1078.1;1078.1;1039.1;1062.5;1062.5;1117.2;1109.4;1070.3;1070.3;1070.3;1015.6;1070.3;1023.4;1023.4;1046.9;1070.3;1023.4;1023.4;1015.6;1093.8	3.977	1070.3	54.7	ascending shriek
15	Spectrogram 1	1	46.204640561	47.089755646	977.0	1219.2	0.885	1031.2;1031.2;1203.1;1117.2;1117.2;1187.5;1132.8;1046.9;1109.4;1109.4;1195.3;1039.1;1015.6	4.876	1031.2	117.2	ascending shriek
16	Spectrogram 1	1	49.132328919	50.221701331	964.5	1181.6	1.089	1062.5;984.4;1007.8;1007.8;992.2;992.2;1117.2;1039.1;1039.1;1000.0;1000.0;992.2;1070.3;976.6;1000.0;1000.0	4.759	1000.0	117.2	descending shriek
17	Spectrogram 1	1	52.845454544	54.207170059	438.4	563.7	1.362	531.2;492.2;531.2;531.2;476.6;515.6;453.1;453.1;453.1;507.8;445.3;484.4;531.2;500.0;507.8;507.8;523.4;531.2;531.2;468.8	3.905	507.8	54.7	ascending shriek
18	Spectrogram 1	1	56.045486005	57.475287296	910.2	1123.2	1.430	992.2;992.2;992.2;992.2;992.2;992.2;992.2;992.2;984.4;929.7;929.7;953.1;953.1;992.2;992.2;992.2;1070.3;1101.6;976.6;976.6;976.6;953.1	4.426	992.2	70.3	ascending shriek
19	Spectrogram 1	1	58.632745484	59.449774793	438.4	926.9	0.817	914.1;679.7;851.6;851.6;773.4;828.1;828.1;601.6;507.8;507.8;562.5	5.673	562.5	218.8	gurgle
21	Spectrogram 1	1	60.402975654	61.083833412	380.0	597.1	0.681	382.8;382.8;578.1;554.7;554.7;593.8;406.2;515.6;421.9;421.9	4.740	554.7	125.0	ascending shriek
22	Spectrogram 1	1	62.581720479	64.351950648	363.3	484.3	1.770	367.2;367.2;375.0;445.3;367.2;453.1;367.2;367.2;367.2;375.0;367.2;367.2;421.9;437.5;476.6;468.8;468.8;476.6;468.8;468.8;460.9;476.6;445.3;476.6;429.7;460.9;414.1;476.6	3.673	367.2	85.9	ascending moan
23	Spectrogram 1	1	65.577494612	67.756239437	1135.7	1269.3	2.179	1140.6;1140.6;1234.4;1226.6;1226.6;1179.7;1234.4;1156.2;1171.9;1218.8;1218.8;1210.9;1187.5;1156.2;1164.1;1164.1;1218.8;1203.1;1195.3;1171.9;1156.2;1187.5;1187.5;1242.2;1210.9;1140.6;1156.2;1164.1;1218.8;1250.0;1148.4;1187.5;1265.6;1203.1	4.064	1226.6	62.5	ascending shriek
24	Spectrogram 1	1	68.913697625	69.662641158	254.7	818.4	0.749	289.1;289.1;414.1;343.8;593.8;554.7;570.3;625.0;406.2;359.4;437.5;328.1	5.987	414.1	242.2	gurgle
25	Spectrogram 1	1	70.888185122	71.637128655	242.2	776.6	0.749	304.7;734.4;343.8;343.8;359.4;343.8;359.4;359.4;335.9;343.8;343.8;328.1	4.613	328.1	62.5	gurgle
26	Spectrogram 1	1	73.442763392	75.281079338	288.1	413.4	1.838	382.8;343.8;359.4;335.9;343.8;343.8;328.1;343.8;343.8;328.1;328.1;335.9;406.2;406.2;304.7;335.9;335.9;382.8;335.9;335.9;343.8;304.7;328.1;312.5;320.3;390.6;375.0;359.4;328.1	3.852	382.8	46.9	descending moan
27	Spectrogram 1	1	76.506623301	77.732167265	872.7	1073.1	1.226	1062.5;953.1;945.3;960.9;1000.0;906.2;898.4;960.9;875.0;1054.7;921.9;1007.8;1046.9;992.2;1046.9;1015.6;992.2;937.5;1023.4	4.664	1000.0	93.8	ascending shriek
28	Spectrogram 1	1	80.183255193	80.864112950	212.9	968.7	0.681	375.0;359.4;382.8;390.6;375.0;343.8;351.6;343.8;343.8;351.6;351.6	4.863	351.6	78.1	gurgle
29	Spectrogram 1	1	83.655629757	85.630117254	317.3	388.3	1.974	359.4;351.6;343.8;343.8;328.1;335.9;335.9;382.8;328.1;343.8;320.3;343.8;375.0;320.3;320.3;382.8;359.4;359.4;351.6;359.4;351.6;335.9;343.8;320.3;328.1;351.6;343.8;351.6;382.8;335.9	3.095	343.8	23.4	descending moan
30	Spectrogram 1	1	86.583318115	87.740776303	1006.3	1173.3	1.157	1039.1;1039.1;1039.1;1164.1;1156.2;1085.9;1101.6;1164.1;1085.9;1085.9;1085.9;1015.6;1093.8;1101.6;1085.9;1054.7;1070.3;1117.2	4.425	1054.7	85.9	ascending shriek
31	Spectrogram 1	1	89.569831987	90.046432417	208.8	847.6	0.477	335.9;335.9;335.9;335.9;328.1;328.1;328.1	2.926	335.9	15.6	gurgle
32	Spectrogram 1	1	92.906034999	94.472007842	275.6	359.1	1.566	335.9;335.9;343.8;335.9;328.1;328.1;320.3;328.1;304.7;304.7;335.9;351.6;328.1;343.8;351.6;312.5;312.5;289.1;320.3;343.8;351.6;335.9;335.9;335.9;328.1	3.173	335.9	31.2	trill
33	Spectrogram 1	1	96.446495339	97.331610424	893.5	1377.9	0.885	976.6;1226.6;1109.4;1179.7;1203.1;1171.9;1343.8;953.1;1328.1;906.2;1132.8;1054.7;1109.4;1078.1	5.903	1109.4	226.6	ascending shriek
34	Spectrogram 1	1	98.557154388	99.306097921	175.4	592.9	0.749	335.9;335.9;351.6;328.1;328.1;328.1;328.1;335.9;328.1;328.1;328.1;343.8	4.041	335.9	31.2	gurgle
35	Spectrogram 1	1	100.395470333	101.280585418	187.9	747.4	0.885	273.4;226.6;320.3;328.1;367.2;335.9;367.2;593.8;710.9;359.4;742.2;359.4;359.4;296.9	5.859	359.4	218.8	gurgle
36	Spectrogram 1	1	103.799759121	105.297646188	288.1	363.3	1.498	335.9;351.6;359.4;328.1;304.7;320.3;359.4;359.4;351.6;343.8;335.9;351.6;359.4;359.4;343.8;304.7;351.6;289.1;359.4;304.7;296.9;328.1;328.1;289.1	3.296	351.6	46.9	trill
37	Spectrogram 1	1	106.445844431	107.467131068	935.3	1098.1	1.021	1078.1;1085.9;1046.9;937.5;1000.0;984.4;1085.9;1078.1;1015.6;1015.6;1000.0;1046.9;1039.1;1023.4;1031.2;984.4	4.367	1046.9	78.1	ascending shriek
38	Spectrogram 1	1	109.850133220	110.599076753	250.5	626.3	0.749	312.5;343.8;539.1;351.6;312.5;351.6;343.8;476.6;476.6;289.1;296.9;289.1	5.427	289.1	179.7	gurgle
39	Spectrogram 1	1	111.552277614	111.892706493	75.2	538.6	0.340	78.1;367.2;265.6;171.9;210.9	5.783	265.6	226.6	gurgle
40	Spectrogram 1	1	113.867193990	115.773595711	296.5	350.7	1.906	312.5;312.5;343.8;335.9;296.9;320.3;335.9;296.9;335.9;328.1;296.9;312.5;312.5;296.9;312.5;328.1;335.9;296.9;343.8;296.9;335.9;312.5;312.5;320.3;312.5;320.3;328.1;328.1;343.8	2.743	312.5	23.4	trill
41	Spectrogram 1	1	116.794882348	117.611911657	952.0	1123.2	0.817	1109.4;1093.8;1117.2;1007.8;1023.4;1078.1;968.8;992.2;1117.2;992.2;1117.2;1031.2;953.1	4.424	992.2	93.8	ascending shriek
42	Spectrogram 1	1	120.880028894	121.969401306	121.1	384.1	1.089	296.9;296.9;351.6;296.9;351.6;343.8;320.3;343.8;328.1;335.9;343.8;273.4;343.8;312.5;296.9;343.8;132.8	4.888	343.8	117.2	long grunt
43	Spectrogram 1	1	124.897089664	126.463062506	288.1	359.1	1.566	343.8;296.9;328.1;343.8;296.9;328.1;320.3;312.5;351.6;328.1;320.3;296.9;312.5;296.9;289.1;328.1;351.6;304.7;304.7;328.1;351.6;296.9;304.7;289.1	3.157	289.1	31.2	descending moan
44	Spectrogram 1	1	131.773753016	133.475897410	125.3	380.0	1.702	375.0;367.2;367.2;367.2;367.2;367.2;367.2;367.2;218.8;359.4;359.4;226.6;359.4;367.2;210.9;234.4;171.9;367.2;289.1;375.0;140.6;281.2;367.2;289.1;164.1;375.0;367.2	4.690	367.2	148.4	long grunt
45	Spectrogram 1	1	135.722728010	138.378073265	271.4	342.4	2.655	273.4;273.4;289.1;273.4;289.1;304.7;320.3;335.9;335.9;328.1;296.9;296.9;335.9;335.9;273.4;304.7;296.9;320.3;328.1;296.9;273.4;312.5;304.7;296.9;296.9;296.9;312.5;296.9;273.4;312.5;273.4;328.1;312.5;335.9;289.1;335.9;296.9;320.3;328.1;296.9;335.9;281.2	3.162	312.5	31.2	trill
46	Spectrogram 1	1	138.173815938	138.922759471	935.3	1073.1	0.749	953.1;984.4;945.3;1062.5;1015.6;1015.6;937.5;937.5;953.1;992.2;1054.7;1015.6	4.093	984.4	70.3	ascending shriek
47	Spectrogram 1	1	142.531305587	143.688763775	125.3	375.8	1.157	359.4;343.8;351.6;359.4;343.8;351.6;359.4;351.6;343.8;343.8;367.2;335.9;335.9;359.4;351.6;343.8;320.3;140.6	4.393	359.4	109.4	long grunt
48	Spectrogram 1	1	146.480280581	147.978167648	283.9	346.6	1.498	335.9;343.8;335.9;335.9;335.9;289.1;312.5;304.7;343.8;312.5;343.8;328.1;335.9;343.8;328.1;343.8;343.8;335.9;328.1;296.9;312.5;320.3;296.9;343.8	2.910	343.8	23.4	descending moan
49	Spectrogram 1	1	148.625254713	149.510369798	1043.8	1198.3	0.885	1046.9;1046.9;1046.9;1125.0;1093.8;1046.9;1117.2;1109.4;1093.8;1093.8;1164.1;1156.2;1125.0;1054.7	4.284	1093.8	70.3	ascending shriek
50	Spectrogram 1	1	152.710401259	154.276374101	108.6	325.7	1.566	148.4;148.4;195.3;171.9;210.9;265.6;320.3;265.6;281.2;156.2;312.5;226.6;242.2;250.0;218.8;109.4;320.3;320.3;320.3;320.3;320.3;117.2;296.9;132.8	4.762	320.3	109.4	long grunt
51	Spectrogram 1	1	156.659376253	158.157263320	271.4	363.3	1.498	351.6;351.6;273.4;335.9;343.8;335.9;320.3;351.6;343.8;304.7;273.4;273.4;273.4;296.9;304.7;335.9;320.3;320.3;343.8;359.4;289.1;320.3;304.7;273.4	3.565	335.9	46.9	descending moan
52	Spectrogram 1	1	158.974292629	160.063665041	922.8	1144.1	1.089	1125.0;960.9;960.9;1125.0;1039.1;1070.3;1000.0;976.6;984.4;929.7;1015.6;1140.6;1109.4;945.3;929.7;1117.2;960.9	4.787	1000.0	109.4	ascending shriek
53	Spectrogram 1	1	163.059439175	164.625412018	116.9	321.5	1.566	187.5;140.6;140.6;148.4;171.9;273.4;164.1;289.1;125.0;218.8;257.8;164.1;132.8;125.0;140.6;195.3;273.4;289.1;164.1;320.3;140.6;125.0;132.8;140.6;132.8	4.664	132.8	125.0	long grunt
54	Spectrogram 1	1	167.008414169	168.642472788	254.7	338.2	1.634	328.1;328.1;335.9;335.9;335.9;328.1;335.9;328.1;335.9;328.1;335.9;335.9;281.2;296.9;335.9;312.5;320.3;328.1;335.9;335.9;328.1;335.9;328.1;335.9;335.9;328.1	2.856	335.9	39.1	descending moan
55	Spectrogram 1	1	169.391416321	170.412702958	868.5	1081.4	1.021	1007.8;1046.9;1046.9;1078.1;921.9;976.6;1046.9;1015.6;1070.3;921.9;875.0;960.9;882.8;906.2;1062.5;960.9	4.715	921.9	109.4	ascending shriek
56	Spectrogram 1	1	173.466758180	175.781674556	116.9	409.2	2.315	398.4;406.2;359.4;359.4;398.4;406.2;390.6;335.9;359.4;375.0;406.2;367.2;148.4;406.2;398.4;117.2;390.6;390.6;390.6;312.5;148.4;375.0;242.2;382.8;328.1;125.0;296.9;148.4;210.9;406.2;406.2;132.8;132.8;132.8;132.8;234.4	5.112	398.4	171.9	long grunt
57	Spectrogram 1	1	177.770323373	179.608639319	263.0	359.1	1.838	351.6;343.8;343.8;343.8;343.8;273.4;265.6;343.8;343.8;343.8;328.1;335.9;273.4;265.6;351.6;265.6;343.8;320.3;335.9;343.8;343.8;273.4;335.9;281.2;351.6;328.1;335.9;328.1;328.1	3.288	328.1	46.9	descending moan
58	Spectrogram 1	1	180.561840179	181.106526385	897.7	1106.5	0.545	921.9;921.9;898.4;898.4;898.4;906.2;945.3;945.3	4.629	921.9	109.4	ascending shriek
59	Spectrogram 1	1	183.081013883	183.898043192	125.3	325.7	0.817	132.8;203.1;320.3;140.6;250.0;171.9;171.9;289.1;179.7;203.1;210.9;195.3;156.2	4.545	171.9	101.6	gurgle
60	Spectrogram 1	1	185.395930259	186.689559998	121.1	338.2	1.294	273.4;289.1;265.6;257.8;304.7;210.9;164.1;289.1;125.0;132.8;320.3;132.8;132.8;132.8;226.6;218.8;140.6;140.6;187.5;203.1;242.2	4.709	132.8	117.2	long grunt
61	Spectrogram 1	1	189.004476374	190.570449217	279.7	375.8	1.566	328.1;359.4;328.1;328.1;328.1;328.1;343.8;328.1;320.3;328.1;320.3;351.6;320.3;320.3;328.1;328.1;335.9;328.1;359.4;343.8;343.8;343.8;335.9;343.8	3.068	328.1	15.6	descending moan
62	Spectrogram 1	1	191.591735853	192.340679387	471.8	638.8	0.749	523.4;578.1;484.4;609.4;570.3;554.7;507.8;554.7;585.9;484.4;593.8;609.4	4.316	554.7	78.1	ascending shriek
63	Spectrogram 1	1	192.817279817	193.566223351	112.7	367.4	0.749	257.8;328.1;351.6;343.8;343.8;367.2;367.2;351.6;148.4;234.4;351.6;367.2	4.497	343.8	101.6	gurgle
64	Spectrogram 1	1	195.472625072	197.583284121	108.6	325.7	2.111	210.9;210.9;210.9;187.5;289.1;148.4;265.6;273.4;320.3;125.0;164.1;281.2;242.2;242.2;242.2;218.8;257.8;148.4;312.5;257.8;257.8;257.8;250.0;140.6;250.0;140.6;140.6;257.8;257.8;257.8;250.0;132.8;250.0	4.424	257.8	101.6	long grunt
65	Spectrogram 1	1	199.625857394	201.191830236	275.6	350.7	1.566	328.1;335.9;289.1;289.1;335.9;335.9;328.1;343.8;328.1;304.7;328.1;312.5;328.1;328.1;335.9;343.8;328.1;343.8;312.5;335.9;343.8;335.9;335.9;335.9	2.971	335.9	31.2	descending moan
66	Spectrogram 1	1	202.544285807	203.429400892	1031.3	1148.2	0.885	1078.1;1039.1;1039.1;1117.2;1140.6;1132.8;1101.6;1054.7;1054.7;1085.9;1054.7;1062.5;1078.1;1101.6	3.789	1132.8	54.7	ascending shriek
67	Spectrogram 1	1	203.429400892	204.450687528	112.7	338.2	1.021	273.4;250.0;257.8;125.0;140.6;320.3;250.0;250.0;250.0;265.6;320.3;125.0;117.2;312.5;265.6;242.2	4.674	250.0	93.8	gurgle
68	Spectrogram 1	1	205.744317268	207.650718989	125.3	309.0	1.906	218.8;218.8;195.3;171.9;156.2;218.8;140.6;132.8;304.7;273.4;218.8;265.6;156.2;296.9;296.9;218.8;140.6;203.1;195.3;156.2;210.9;140.6;234.4;179.7;164.1;171.9;171.9;234.4;132.8;132.8	4.467	140.6	85.9	long grunt
69	Spectrogram 1	1	210.510321571	212.484809068	263.0	354.9	1.974	335.9;335.9;335.9;281.2;312.5;296.9;273.4;343.8;281.2;273.4;304.7;320.3;320.3;328.1;328.1;343.8;320.3;343.8;343.8;328.1;328.1;320.3;328.1;328.1;312.5;343.8;343.8;335.9;328.1;328.1;328.1	3.272	320.3	23.4	trill
70	Spectrogram 1	1	212.619891136	213.436920445	885.2	1106.5	0.817	960.9;960.9;1093.8;1062.5;906.2;953.1;953.1;1015.6;1007.8;937.5;1093.8;929.7	4.742	1007.8	109.4	ascending shriek
71	Spectrogram 1	1	213.913520875	214.730550185	87.7	338.2	0.817	226.6;226.6;226.6;234.4;171.9;164.1;234.4;226.6;335.9;242.2;226.6;257.8;164.1	4.588	226.6	70.3	gurgle
72	Spectrogram 1	1	216.977380785	218.202924749	125.3	334.0	1.226	304.7;312.5;312.5;242.2;312.5;328.1;328.1;312.5;156.2;328.1;140.6;132.8;312.5;328.1;164.1;132.8;312.5;226.6;296.9	4.597	312.5	117.2	long grunt
73	Spectrogram 1	1	220.743885807	222.309858650	267.2	338.2	1.566	328.1;328.1;312.5;328.1;320.3;289.1;273.4;312.5;296.9;328.1;312.5;328.1;304.7;304.7;320.3;335.9;312.5;312.5;328.1;328.1;312.5;289.1;320.3;335.9	3.039	328.1	31.2	descending moan
74	Spectrogram 1	1	223.194973735	224.148174596	872.7	1043.8	0.953	937.5;890.6;890.6;1031.2;937.5;921.9;1031.2;1023.4;929.7;914.1;953.1;960.9;1015.6;1007.8;984.4	4.404	890.6	93.8	ascending shriek
75	Spectrogram 1	1	227.688634935	229.322693554	121.1	313.2	1.634	273.4;289.1;156.2;257.8;171.9;218.8;164.1;132.8;132.8;140.6;140.6;140.6;140.6;132.8;125.0;140.6;140.6;140.6;140.6;250.0;140.6;140.6;289.1;242.2;140.6;140.6	4.304	140.6	109.4	long grunt
76	Spectrogram 1	1	231.229095275	233.407840100	271.4	334.0	2.179	273.4;273.4;328.1;320.3;304.7;328.1;289.1;312.5;296.9;328.1;328.1;273.4;273.4;320.3;304.7;281.2;296.9;304.7;312.5;296.9;304.7;320.3;320.3;312.5;312.5;320.3;320.3;320.3;320.3;320.3;312.5;320.3;320.3;320.3	2.824	320.3	23.4	trill
77	Spectrogram 1	1	233.952526306	234.565298288	864.3	1068.9	0.613	1015.6;945.3;945.3;984.4;976.6;921.9;867.2;945.3;867.2;945.3	4.602	867.2	85.9	ascending shriek
78	Spectrogram 1	1	235.246156045	235.995099579	104.4	309.0	0.749	179.7;289.1;289.1;289.1;250.0;132.8;273.4;132.8;195.3;281.2;179.7;187.5	4.613	179.7	109.4	gurgle
79	Spectrogram 1	1	237.901501300	239.535559918	142.0	313.2	1.634	281.2;226.6;226.6;179.7;218.8;210.9;242.2;234.4;234.4;226.6;179.7;257.8;234.4;304.7;234.4;148.4;242.2;242.2;156.2;242.2;265.6;242.2;234.4;234.4;250.0	4.345	242.2	70.3	long grunt
80	Spectrogram 1	1	241.810714109	243.580944279	258.9	342.4	1.770	265.6;265.6;289.1;304.7;328.1;335.9;273.4;312.5;289.1;312.5;335.9;273.4;335.9;265.6;304.7;304.7;281.2;335.9;328.1;320.3;335.9;335.9;328.1;312.5;328.1;328.1;265.6	3.170	335.9	39.1	trill
