Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq Contour (Hz)	Agg Entropy (bits)	Peak Freq (Hz)	IQR BW (Hz)	Unit Type	Contour	Description
158	Spectrogram 1	1	614.140581448	614.400545080	330.0	1069.6	0.260	570.3;585.9;585.9;664.1;585.9	4.448	585.9	31.2	P	0	gurgle
157	Spectrogram 1	1	611.320975901	611.600936735	330.0	1133.2	0.280	664.1;664.1;671.9;554.7;539.1	5.778	664.1	187.5	P	0	gurgle
138	Spectrogram 1	1	550.940609956	551.220570791	461.2	731.6	0.280	554.7;570.3;570.3;671.9;570.3	4.090	570.3	117.2	P	0	gurgle
142	Spectrogram 1	1	563.300643482	563.620598721	536.8	827.0	0.320	554.7;664.1;664.1;726.6;781.2	4.990	664.1	101.6	P	0	gurgle
156	Spectrogram 1	1	608.409650764	608.729606004	353.9	1049.7	0.320	546.9;578.1;578.1;601.6;773.4;1015.6	5.062	578.1	117.2	P	0	gurgle
155	Spectrogram 1	1	605.730025634	606.049980874	457.3	1089.5	0.320	593.8;593.8;875.0;875.0;882.8;882.8	5.241	593.8	250.0	P	0	gurgle
137	Spectrogram 1	1	548.180996016	548.520948458	421.5	783.3	0.340	437.5;492.2;531.2;531.2;703.1;726.6	4.534	531.2	164.1	P	0	gurgle
145	Spectrogram 1	1	571.551282126	571.911231770	397.6	922.5	0.360	437.5;476.6;546.9;546.9;789.1;781.2	5.590	546.9	242.2	P	0	gurgle
162	Spectrogram 1	1	624.792525583	625.152475227	556.7	747.5	0.360	609.4;585.9;656.2;695.3;695.3;609.4;585.9	4.330	695.3	70.3	P	0	gurgle
146	Spectrogram 1	1	583.299668799	583.659618443	417.5	934.4	0.360	546.9;570.3;570.3;679.7;679.7;695.3;898.4	4.853	679.7	132.8	P	0	gurgle
150	Spectrogram 1	1	588.792273939	589.152223583	401.6	918.5	0.360	492.2;562.5;593.8;593.8;703.1;703.1;750.0	4.949	703.1	117.2	P	0	gurgle
147	Spectrogram 1	1	585.859310714	586.239257561	381.7	962.2	0.380	429.7;539.1;601.6;703.1;703.1;781.2;632.8	5.312	703.1	140.6	P	0	gurgle
151	Spectrogram 1	1	591.551887879	591.931834726	377.7	811.1	0.380	398.4;507.8;585.9;625.0;625.0;703.1;742.2	5.170	625.0	125.0	P	0	gurgle
136	Spectrogram 1	1	545.401384874	545.801328923	389.7	807.2	0.400	414.1;429.7;570.3;703.1;734.4;734.4;726.6	5.206	734.4	179.7	P	0	gurgle
143	Spectrogram 1	1	566.021964662	566.421908711	453.3	799.2	0.400	500.0;609.4;656.2;687.5;687.5;757.8;687.5	4.447	687.5	39.1	P	0	gurgle
164	Spectrogram 1	1	630.131778641	630.531722690	536.8	783.3	0.400	734.4;585.9;578.1;578.1;703.1;703.1;765.6;726.6	4.648	578.1	125.0	P	0	gurgle
144	Spectrogram 1	1	568.821573007	569.241514258	381.7	966.2	0.420	468.8;414.1;507.8;546.9;546.9;531.2;531.2;562.5	5.337	531.2	117.2	P	0	gurgle
72	Spectrogram 1	1	324.781200314	325.261133174	35.8	210.7	0.480	54.7;54.7;148.4;148.4;54.7;54.7;179.7;179.7;62.5	4.007	148.4	93.8	S	0	grunt
8	Spectrogram 1	1	43.772832225	44.292759489	399.2	584.8	0.520	546.9;500.0;500.0;468.8;523.4;523.4;515.6;460.9;445.3;484.4	3.802	523.4	39.1	B	1	bark
88	Spectrogram 1	1	361.682759664	362.322670143	55.7	246.5	0.640	156.2;156.2;203.1;203.1;210.9;203.1;203.1;140.6;195.3;195.3;203.1;203.1;140.6	3.801	203.1	62.5	S	0	grunt
163	Spectrogram 1	1	627.372164701	628.032072382	600.4	727.6	0.660	632.8;656.2;656.2;687.5;671.9;671.9;648.4;648.4;671.9;648.4;648.4;671.9;671.9;679.7	3.695	656.2	31.2	P	0	gurgle
65	Spectrogram 1	1	306.884330363	307.564235247	45.0	348.6	0.680	148.4;132.8;132.8;210.9;70.3;70.3;62.5;62.5;226.6;226.6;54.7;70.3;70.3;70.3	4.597	70.3	148.4	S	0	grunt
89	Spectrogram 1	1	364.282395984	364.962300868	107.4	230.6	0.680	156.2;148.4;148.4;148.4;148.4;156.2;156.2;179.7;148.4;148.4;156.2;156.2;164.1	3.063	148.4	23.4	S	0	grunt
69	Spectrogram 1	1	317.982151477	318.702050765	39.8	238.6	0.720	140.6;93.8;140.6;156.2;156.2;218.8;148.4;148.4;164.1;218.8;148.4;203.1;203.1;148.4	4.179	156.2	62.5	S	0	grunt
92	Spectrogram 1	1	370.881472798	371.601372086	99.4	214.7	0.720	125.0;140.6;156.2;156.2;148.4;148.4;148.4;156.2;140.6;140.6;156.2;148.4;187.5;125.0	3.069	156.2	15.6	S	0	grunt
114	Spectrogram 1	1	459.459309606	460.179208895	175.0	596.4	0.720	335.9;335.9;203.1;226.6;250.0;218.8;218.8;320.3;320.3;484.4;257.8;257.8;257.8;250.0;250.0	5.126	320.3	140.6	N	0	gurgle
5	Spectrogram 1	1	22.516849975	23.276743668	359.9	646.7	0.760	367.2;554.7;570.3;570.3;445.3;609.4;421.9;429.7;429.7;531.2;625.0;453.1;453.1;429.7;429.7	4.442	429.7	78.1	B	1	bark
6	Spectrogram 1	1	25.316458320	26.076352013	309.3	590.4	0.760	328.1;570.3;437.5;437.5;367.2;367.2;460.9;531.2;406.2;515.6;515.6;375.0;468.8;468.8;570.3	4.772	367.2	117.2	B	1	bark
64	Spectrogram 1	1	305.484526191	306.284414289	39.4	309.3	0.800	101.6;101.6;171.9;171.9;179.7;203.1;203.1;171.9;171.9;210.9;218.8;195.3;195.3;179.7;62.5;62.5	4.455	203.1	54.7	S	0	grunt
66	Spectrogram 1	1	308.524100965	309.323989064	33.7	354.3	0.800	164.1;171.9;171.9;203.1;234.4;203.1;203.1;179.7;242.2;195.3;195.3;70.3;70.3;164.1;164.1;171.9	4.548	171.9	54.7	S	0	grunt
116	Spectrogram 1	1	464.658582247	465.498464750	178.9	839.0	0.840	195.3;203.1;218.8;218.8;210.9;210.9;320.3;320.3;210.9;242.2;304.7;328.1;226.6;234.4;234.4;289.1;437.5	5.319	320.3	117.2	N	0	gurgle
63	Spectrogram 1	1	303.804761184	304.644643687	45.0	359.9	0.840	156.2;164.1;203.1;234.4;234.4;242.2;234.4;234.4;250.0;242.2;242.2;265.6;78.1;70.3;70.3;164.1;78.1	4.454	234.4	85.9	S	0	grunt
71	Spectrogram 1	1	322.541513638	323.381396142	35.8	230.6	0.840	125.0;148.4;54.7;148.4;148.4;62.5;62.5;171.9;171.9;117.2;148.4;210.9;210.9;164.1;46.9;85.9;148.4	4.525	148.4	85.9	S	0	grunt
84	Spectrogram 1	1	350.016417315	350.856299819	19.9	274.4	0.840	62.5;62.5;62.5;148.4;148.4;62.5;62.5;62.5;179.7;54.7;54.7;171.9;171.9;179.7;54.7;54.7	4.441	62.5	109.4	S	0	grunt
